日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA20,MA60,RSI14,DIF,DEA,MACD
2024-03-29,600519,1567.3,1568.56,1576.65,1563.76,13457,2290584417.0,0.82,0.08,1.26,0.11,1566.428,1568.0670000000002,1539.8238333333334,52.9643990130419,5.81753748545907,8.261330860796209,-4.887586750674277
2024-04-01,600519,1575.65,1586.99,1599.66,1574.36,27131,4679371035.0,1.61,1.17,18.43,0.22,1572.892,1570.3184999999999,1539.7628333333334,39.2183656736813,6.829851611229287,7.9750350108828245,-2.2903667993070744
2024-04-02,600519,1587.66,1579.65,1590.65,1570.71,25449,4360973684.0,1.26,-0.46,-7.34,0.2,1573.832,1571.2630000000001,1539.5626666666665,43.24025713137814,6.959615081718994,7.7719510250500585,-1.6246718866621297
2024-04-03,600519,1599.66,1580.77,1605.1,1575.68,29046,5002390042.0,1.86,0.07,1.12,0.23,1576.654,1572.9910000000002,1540.0643333333333,49.15423992877811,7.07131449498911,7.631823719037869,-1.1210184480975176
2024-04-08,600519,1560.66,1532.32,1561.66,1528.26,59167,9907355766.0,2.11,-3.06,-48.45,0.47,1569.658,1572.1425000000002,1539.6086666666665,31.50963986904317,3.2132862347878017,6.748116222187855,-7.069659974800107
2024-04-09,600519,1526.33,1527.88,1538.66,1524.11,25590,4256226333.0,0.95,-0.29,-4.44,0.2,1561.5220000000002,1571.682,1539.4956666666667,32.64736921453334,-0.20019215978345528,5.3584545457935935,-11.117293411154098
2024-04-10,600519,1527.93,1513.64,1530.65,1510.66,27631,4562853880.0,1.31,-0.93,-14.24,0.22,1546.852,1569.3565,1539.2393333333334,29.530887767625728,-4.008242843167864,3.4851150680013023,-14.986715822338333
2024-04-11,600519,1505.77,1513.66,1515.66,1500.35,22766,3736417595.0,1.01,0.0,0.02,0.18,1533.654,1564.5065,1539.3061666666667,28.77325982081318,-6.944484913133692,1.3991950717743036,-16.687359969815994
2024-04-12,600519,1516.66,1499.69,1529.66,1499.69,26744,4403968129.0,1.98,-0.92,-13.97,0.21,1517.438,1559.8355,1539.19,26.345680570454903,-10.28023599458129,-0.9366911414968151,-18.687089706168948
2024-04-15,600519,1500.67,1538.64,1541.27,1500.64,35818,5960815532.0,2.71,2.6,38.95,0.29,1518.7020000000002,1557.653,1539.7146666666667,42.525162038256845,-9.669439992928346,-2.6832409117831215,-13.97239816229045
2024-04-16,600519,1531.15,1535.66,1545.22,1524.66,26266,4382796962.0,1.34,-0.19,-2.98,0.21,1520.2580000000003,1555.2785,1540.105166666667,44.731445041849106,-9.318423866357762,-4.01027750269805,-10.616292727319424
2024-04-17,600519,1533.66,1532.66,1540.86,1523.66,24819,4130322018.0,1.12,-0.2,-3.0,0.2,1524.0620000000001,1553.2155,1540.5041666666666,37.03794519708207,-9.17653460632232,-5.043528923422904,-8.266011365798834
2024-04-18,600519,1524.67,1536.44,1548.64,1523.84,26568,4445487745.0,1.62,0.25,3.78,0.21,1528.618,1551.3535000000002,1541.0171666666668,40.47408901777831,-8.65925345266146,-5.766673829270616,-5.785159246781689
2024-04-19,600519,1526.44,1512.3,1534.16,1506.94,23500,3879233242.0,1.77,-1.57,-24.14,0.19,1531.14,1548.2055,1541.1373333333333,34.90006589062156,-10.080993250190204,-6.629537713454534,-6.902911073471341
2024-04-22,600519,1519.66,1540.72,1544.54,1510.66,29951,5001684635.0,2.24,1.88,28.42,0.24,1531.556,1546.5085000000001,1542.7716666666668,43.34862385321103,-8.812886330873198,-7.066207436938267,-3.4933577878698614
2024-04-23,600519,1540.66,1557.94,1560.66,1540.66,24980,4217855279.0,1.3,1.12,17.22,0.2,1536.0120000000002,1546.055,1544.1285,43.019176238765816,-6.345248301996435,-6.922015609949901,1.153534615906933
2024-04-24,600519,1562.64,1559.26,1565.57,1548.99,17086,2893555635.0,1.06,0.08,1.32,0.14,1541.3319999999999,1546.2845,1545.1051666666667,44.95421925266021,-4.234303996728386,-6.384473287305599,4.300338581154426
2024-04-25,600519,1555.99,1558.7,1561.26,1547.91,14476,2447183879.0,0.86,-0.04,-0.56,0.12,1545.784,1545.472,1545.9558333333332,44.52330140453622,-2.576848441356333,-5.622948318115745,6.092199753518825
2024-04-26,600519,1559.66,1575.09,1579.66,1559.64,30996,5290248521.0,1.28,1.05,16.39,0.25,1558.342,1545.8935,1547.4630000000002,62.62173168860298,0.05855803013287186,-4.486647048466022,9.090410157197788
2024-04-29,600519,1562.61,1569.66,1593.66,1559.48,41332,7072096590.0,2.17,-0.34,-5.43,0.33,1564.13,1546.0115,1548.763,62.2579509447248,1.689505459019074,-3.251416546969003,9.881844011976153
2024-04-30,600519,1570.67,1570.66,1595.54,1570.66,30760,5273902374.0,1.59,0.06,1.0,0.24,1566.674,1546.1164999999999,1549.8796666666667,68.13844000508972,3.027831729981017,-1.9955668915789992,10.046797243120032
2024-05-06,600519,1599.63,1625.86,1630.66,1592.66,59909,10504351712.0,2.42,3.51,55.2,0.48,1579.9940000000001,1548.06,1551.9276666666667,76.41740440760971,8.445291552187882,0.09260479717437708,16.70537351002701
2024-05-07,600519,1631.45,1635.66,1643.46,1622.34,24925,4413196426.0,1.3,0.6,9.8,0.2,1595.386,1550.8605,1553.9276666666667,82.65526682357466,13.375263873835138,2.7491366125065295,21.252254522657218
2024-05-08,600519,1635.35,1629.63,1635.63,1621.33,14769,2603293863.0,0.87,-0.37,-6.03,0.12,1606.2939999999999,1553.3035,1556.4438333333333,75.95709476807215,16.604327500494946,5.520174790104213,22.168305420781465
2024-05-09,600519,1623.66,1621.66,1630.64,1615.66,22387,3929804849.0,0.92,-0.49,-7.97,0.18,1616.694,1557.7705,1558.962,73.85443248640856,18.30921407408323,8.077982646900017,20.462462854366425
2024-05-10,600519,1626.76,1604.64,1633.54,1599.65,26207,4571398242.0,2.09,-1.05,-17.02,0.21,1623.4900000000002,1561.6085,1561.1111666666666,68.52480955322218,18.078578608101452,10.078101839140304,16.000953537922296
2024-05-13,600519,1597.68,1571.66,1598.32,1566.88,37662,6435415674.0,1.96,-2.06,-32.98,0.3,1612.65,1564.5095,1562.9445,57.879899767317,15.060974426969324,11.07467635670611,7.972596140526427
2024-05-14,600519,1571.65,1567.64,1578.93,1565.67,21274,3623282672.0,0.84,-0.26,-4.02,0.17,1599.0459999999998,1567.2085,1564.144,63.60641227380022,12.204435830048624,11.300628251374613,1.807615157348021
2024-05-15,600519,1568.24,1565.66,1573.66,1564.25,15739,2677203002.0,0.6,-0.13,-1.98,0.13,1586.2520000000002,1570.507,1564.544,57.048383450146986,9.669376407047594,10.97437788250921,-2.6100029509232314
2024-05-16,600519,1570.66,1570.16,1575.54,1555.66,29680,5048754769.0,1.27,0.29,4.5,0.24,1575.952,1572.083,1564.4358333333334,53.72107186358102,7.932000774701464,10.36590246094766,-4.867803372492393
2024-05-17,600519,1565.67,1580.66,1582.24,1565.66,28924,4936920634.0,1.06,0.67,10.5,0.23,1571.1560000000002,1574.333,1564.5858333333333,56.17141538816476,7.31802270634239,9.756326510026607,-4.876607607368435
2024-05-20,600519,1583.65,1574.66,1598.65,1573.77,31426,5401389335.0,1.57,-0.38,-6.0,0.25,1571.756,1576.4330000000002,1564.8120000000001,54.462588077396276,6.274957009407672,9.06005260990282,-5.570191200990298
2024-05-21,600519,1573.66,1570.66,1575.39,1563.82,16293,2776847499.0,0.73,-0.25,-4.0,0.13,1572.3600000000001,1578.144,1565.3953333333334,48.669110136393726,5.067142494608106,8.261470586843878,-6.388656184471543
